[01:37:45.963724][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.963768][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.963877][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.963922][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.964119][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.964185][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.964266][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.964311][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.965084][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.965138][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.969184][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.969250][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:45.969342][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
